WKT,color
"LINESTRING (10.56795651879 50.093509757894,10.566720565257 50.093631607291)",ff7cff79
"LINESTRING (10.56795651879 50.093509757894,10.568437179027 50.092998374216)",ff7cff79
"LINESTRING (10.56795651879 50.093509757894,10.568013390003 50.093555895082)",ff0aff04
"LINESTRING (10.56795651879 50.093509757894,10.566752737393 50.09362473359)",ff7cff79
"LINESTRING (10.566479265682 50.093714748036,10.56792754494 50.093549021369)",ff7cff79
"LINESTRING (10.981525242529 49.477824904353,10.981609989548 49.477771202119)",ff0aff04
"LINESTRING (10.56872951646 50.093639112844,10.568053063941 50.093509767116)",ff0aff04
"LINESTRING (10.56872951646 50.093639112844,10.568911894920 50.093722265045)",ff0aff04
"LINESTRING (10.56872951646 50.093639112844,10.568013390003 50.093555895082)",ff53acff
"LINESTRING (10.533911030908 50.123538052059,10.532659140882 50.122259633162)",ff79ebff
"LINESTRING (10.533911030908 50.123538052059,10.532584046217 50.122269488188)",ff53acff
"LINESTRING (10.533911030908 50.123538052059,10.534295281195 50.124206301338)",ff7cff79
"LINESTRING (11.920712498368 50.309814137687,11.920697633728 50.309767138930)",ff0aff04
"LINESTRING (11.920712498368 50.309814137687,11.920697633728 50.309767138930)",ff0aff04
"LINESTRING (11.920712498368 50.309814137687,11.920656622240 50.309831557811)",ff0aff04
"LINESTRING (11.920712498368 50.309814137687,11.920661993843 50.309726714928)",ff1e1eff
"LINESTRING (11.920712498368 50.309814137687,11.920686184034 50.309726227797)",ff0aff04
"LINESTRING (10.998161649846 49.463542736190,10.998106998700 49.463686015742)",ff4949ff
"LINESTRING (10.998161649846 49.463542736190,10.998186953118 49.463707814345)",ff4949ff
"LINESTRING (10.990710624123 49.467243947026,10.990640994486 49.467259565058)",ff0aff04
"LINESTRING (10.990710624123 49.467243947026,10.990662452157 49.466924884762)",ff7cff79
"LINESTRING (10.990710624123 49.467243947026,10.990780591965 49.467217652233)",ff0aff04
"LINESTRING (10.997723367389 49.482647508084,10.997638820312 49.482665439484)",ff1e1eff
"LINESTRING (10.997723367389 49.482647508084,10.997638820312 49.482665439484)",ff0aff04
"LINESTRING (11.026212852743 49.575909416763,11.026438230165 49.575872411049)",ff0aff04
"LINESTRING (11.350555584325 49.390744529748,11.350606812195 49.390784524755)",ff0aff04
"LINESTRING (11.283251229722 49.513214537549,11.283374553844 49.513155010611)",ff53acff
"LINESTRING (11.283251229722 49.513214537549,11.283544910050 49.513014280364)",ff1e1eff
"LINESTRING (10.990069035763 49.467614031359,10.990082944091 49.467561371871)",ff1e1eff
"LINESTRING (11.283374553844 49.513155010611,11.283251229722 49.513214537549)",ff7cff79
"LINESTRING (10.976906847395 49.482189664336,10.97717387448 49.482141647415)",ff79ebff
"LINESTRING (11.100010684593 49.463907471524,11.100320530040 49.463890006427)",ff0aff04
"LINESTRING (10.97717387448 49.482141647415,10.976906847395 49.482189664336)",ff79ebff
"LINESTRING (10.194303823714 49.909319129629,10.194545071607 49.908980774858)",ff7cff79
"LINESTRING (11.102169877224 49.462784475988,11.102065977556 49.462707032791)",ff0aff04
"LINESTRING (11.025069347900 49.466837450811,11.025064292503 49.466930662031)",ff0aff04
"LINESTRING (11.025069347900 49.466837450811,11.025300449069 49.464601375683)",ff1e1eff
"LINESTRING (11.102065977556 49.462707032791,11.102089425327 49.462663580938)",ff79ebff
"LINESTRING (11.102065977556 49.462707032791,11.102169877224 49.462784475988)",ff7cff79
"LINESTRING (11.102089425327 49.462663580938,11.101678925177 49.462869721538)",ff7cff79
"LINESTRING (11.102089425327 49.462663580938,11.102169877224 49.462784475988)",ff7cff79
"LINESTRING (11.102089425327 49.462663580938,11.102065977556 49.462707032791)",ff0aff04
"LINESTRING (11.068349875010 49.457075955875,11.068540376529 49.457039518615)",ff1e1eff
"LINESTRING (11.068349875010 49.457075955875,11.068540376529 49.457039518615)",ff0aff04
"LINESTRING (10.990623154452 49.467673883805,10.990607703958 49.467539671289)",ff53acff
"LINESTRING (10.990623154452 49.467673883805,10.990082944091 49.467561371871)",ff4949ff
"LINESTRING (11.059506689379 49.445610469322,11.059433462639 49.445554660915)",ff53acff
"LINESTRING (11.059506689379 49.445610469322,11.060576905151 49.445723812744)",ff1e1eff
"LINESTRING (11.059433462639 49.445554660915,11.059506689379 49.445610469322)",ff79ebff
"LINESTRING (10.990607703958 49.467539671289,10.990623154452 49.467673883805)",ff1e1eff
"LINESTRING (11.025064292503 49.466930662031,11.025069347900 49.466837450811)",ff0aff04
"LINESTRING (10.194545071607 49.908980774858,10.192155359920 49.908690382852)",ff79ebff
"LINESTRING (10.194545071607 49.908980774858,10.194303823714 49.909319129629)",ff0aff04
"LINESTRING (11.068540376529 49.457039518615,11.055931268830 49.446185319299)",ff0aff04
"LINESTRING (11.068540376529 49.457039518615,11.068349875010 49.457075955875)",ff1e1eff
"LINESTRING (11.068540376529 49.457039518615,11.068349875010 49.457075955875)",ff0aff04
"LINESTRING (11.920552037651 50.309804473882,11.920509835977 50.309784071224)",ff0aff04
"LINESTRING (11.920552037651 50.309804473882,11.920479895792 50.309827260918)",ff0aff04
"LINESTRING (11.920552037651 50.309804473882,11.920479895792 50.309827260918)",ff0aff04
"LINESTRING (11.920656622240 50.309831557811,11.920697633728 50.309767138930)",ff0aff04
"LINESTRING (11.920656622240 50.309831557811,11.920697633728 50.309767138930)",ff53acff
"LINESTRING (11.920656622240 50.309831557811,11.920552037651 50.309804473882)",ff53acff
"LINESTRING (11.920656622240 50.309831557811,11.920661993843 50.309726714928)",ff1e1eff
"LINESTRING (11.920656622240 50.309831557811,11.920712498368 50.309814137687)",ff0aff04
"LINESTRING (11.920656622240 50.309831557811,11.920686184034 50.309726227797)",ff0aff04
"LINESTRING (11.034003288123 49.457035678285,11.053242359663 49.450239142540)",ff0aff04
"LINESTRING (11.033663730040 49.456433523359,11.034003288123 49.457035678285)",ff1e1eff
"LINESTRING (11.033663730040 49.456433523359,11.033452519244 49.456212582840)",ff53acff
"LINESTRING (11.082674875620 49.441323431804,11.082597826788 49.441201143067)",ff0aff04
