WKT,quality
"LINESTRING (11.101549 49.462832,11.101679 49.462870)",186
"LINESTRING (11.101679 49.462870,11.102089 49.462664)",231
"LINESTRING (11.101679 49.462870,11.101549 49.462832)",246
"LINESTRING (11.101679 49.462870,11.102170 49.462784)",144
"LINESTRING (11.102089 49.462664,11.102066 49.462707)",245
"LINESTRING (11.102089 49.462664,11.102170 49.462784)",145
"LINESTRING (11.102066 49.462707,11.101679 49.462870)",227
"LINESTRING (11.064539 49.462205,11.064409 49.462178)",222
"LINESTRING (11.054971 49.448058,11.055030 49.448210)",252
"LINESTRING (11.054971 49.448058,11.055207 49.448157)",225
"LINESTRING (11.054971 49.448058,11.055030 49.448210)",4
"LINESTRING (11.029147 49.408264,11.029123 49.408339)",236
"LINESTRING (11.029147 49.408264,11.029045 49.408248)",234
"LINESTRING (11.064409 49.462178,11.064539 49.462205)",238
"LINESTRING (11.060746 49.445249,11.060834 49.445703)",193
"LINESTRING (11.309401 49.253167,11.309507 49.253117)",246
"LINESTRING (11.034003 49.457036,11.053242 49.450239)",251
"LINESTRING (11.053155 49.450302,11.053088 49.450201)",120
"LINESTRING (11.053155 49.450302,11.053244 49.450160)",128
"LINESTRING (11.053155 49.450302,11.053088 49.450201)",255
"LINESTRING (11.053155 49.450302,11.053244 49.450160)",255
"LINESTRING (11.053155 49.450302,11.053242 49.450239)",255
"LINESTRING (11.053088 49.450201,11.052335 49.450259)",239
"LINESTRING (11.053088 49.450201,11.053155 49.450302)",255
"LINESTRING (11.053088 49.450201,11.053155 49.450302)",212
"LINESTRING (11.053088 49.450201,11.053244 49.450160)",172
"LINESTRING (11.053088 49.450201,11.053244 49.450160)",255
"LINESTRING (11.053088 49.450201,11.053242 49.450239)",255
"LINESTRING (11.929843 49.547945,11.929869 49.547872)",255
"LINESTRING (11.929843 49.547945,11.929778 49.547877)",255
"LINESTRING (11.929843 49.547945,11.929869 49.547872)",246
"LINESTRING (11.929843 49.547945,11.929778 49.547877)",255
"LINESTRING (11.133719 49.426322,11.133572 49.426172)",234
"LINESTRING (11.133719 49.426322,11.133547 49.426473)",255
"LINESTRING (11.133719 49.426322,11.133227 49.426560)",247
"LINESTRING (11.133719 49.426322,11.133471 49.426658)",246
"LINESTRING (11.133719 49.426322,11.133790 49.426145)",239
"LINESTRING (11.133719 49.426322,11.133987 49.426336)",255
"LINESTRING (11.240508 49.493497,11.240652 49.493332)",255
"LINESTRING (11.133987 49.426336,11.133719 49.426322)",238
"LINESTRING (11.133987 49.426336,11.133572 49.426172)",236
"LINESTRING (11.133987 49.426336,11.133547 49.426473)",231
"LINESTRING (11.133987 49.426336,11.133227 49.426560)",221
"LINESTRING (11.133987 49.426336,11.133790 49.426145)",255
"LINESTRING (11.029045 49.408248,11.029123 49.408339)",252
"LINESTRING (11.029045 49.408248,11.029147 49.408264)",217
"LINESTRING (11.243966 49.495742,11.243985 49.495789)",246
"LINESTRING (11.243966 49.495742,11.244049 49.495666)",227
"LINESTRING (11.133790 49.426145,11.133572 49.426172)",255
"LINESTRING (11.133790 49.426145,11.133987 49.426336)",247
"LINESTRING (11.100321 49.463890,11.100011 49.463907)",251
"LINESTRING (11.242560 49.500782,11.242362 49.500843)",223
"LINESTRING (11.242560 49.500782,11.242584 49.500867)",255
"LINESTRING (11.242560 49.500782,11.242506 49.500826)",240
"LINESTRING (11.133471 49.426658,11.133719 49.426322)",229
"LINESTRING (11.133471 49.426658,11.133547 49.426473)",255
"LINESTRING (11.133471 49.426658,11.133227 49.426560)",243
"LINESTRING (11.326797 49.198226,11.327049 49.198374)",192
"LINESTRING (11.326797 49.198226,11.326828 49.198261)",182
"LINESTRING (11.326797 49.198226,11.326239 49.198173)",210
"LINESTRING (11.353858 49.385904,11.354153 49.386207)",179
"LINESTRING (11.353858 49.385904,11.354212 49.386132)",189
"LINESTRING (11.082520 49.441461,11.082675 49.441323)",167
"LINESTRING (11.082520 49.441461,11.082450 49.441592)",230
"LINESTRING (11.097160 49.454873,11.097184 49.454971)",250
"LINESTRING (11.075663 49.455889,11.075651 49.455823)",191
"LINESTRING (11.082675 49.441323,11.082598 49.441201)",211
"LINESTRING (11.082675 49.441323,11.082520 49.441461)",130
"LINESTRING (11.242584 49.500867,11.242362 49.500843)",231
"LINESTRING (11.242584 49.500867,11.242560 49.500782)",239
"LINESTRING (11.242584 49.500867,11.242506 49.500826)",255
"LINESTRING (11.099227 49.484852,11.099139 49.484793)",242
"LINESTRING (11.929869 49.547872,11.929843 49.547945)",255
"LINESTRING (11.929869 49.547872,11.929843 49.547945)",255
"LINESTRING (11.929869 49.547872,11.929778 49.547877)",255
"LINESTRING (11.929869 49.547872,11.929778 49.547877)",253
"LINESTRING (11.133227 49.426560,11.133547 49.426473)",247
"LINESTRING (11.133227 49.426560,11.133471 49.426658)",255
"LINESTRING (11.082450 49.441592,11.082520 49.441461)",226
"LINESTRING (11.235197 49.251260,11.235317 49.251154)",255
"LINESTRING (11.326246 49.198165,11.326828 49.198261)",204
"LINESTRING (11.326246 49.198165,11.326797 49.198226)",254
"LINESTRING (11.326246 49.198165,11.327210 49.198556)",158
"LINESTRING (11.326246 49.198165,11.327320 49.198487)",153
"LINESTRING (11.235317 49.251154,11.235197 49.251260)",251
"LINESTRING (11.068350 49.457076,11.068540 49.457040)",255
"LINESTRING (11.068350 49.457076,11.068540 49.457040)",169
"LINESTRING (11.327320 49.198487,11.327049 49.198374)",204
"LINESTRING (11.327320 49.198487,11.327210 49.198556)",239
"LINESTRING (11.327320 49.198487,11.327564 49.198490)",255
"LINESTRING (11.350607 49.390785,11.350556 49.390745)",255
"LINESTRING (11.055931 49.446185,11.068540 49.457040)",255
"LINESTRING (11.055931 49.446185,11.055833 49.446180)",255
"LINESTRING (11.055931 49.446185,11.055853 49.446215)",255
"LINESTRING (11.055931 49.446185,11.055854 49.446147)",255
"LINESTRING (11.055931 49.446185,11.053242 49.450239)",215
"LINESTRING (11.309507 49.253117,11.309635 49.253179)",249
"LINESTRING (11.309507 49.253117,11.309401 49.253167)",252
"LINESTRING (11.240652 49.493332,11.240508 49.493497)",218
"LINESTRING (11.240652 49.493332,11.240508 49.493497)",255
